judul,link,waktu,isi_berita
Men's World Tennis Championship: Rifqi dan Rafalentino Tembus Babak Kedua,https://sport.detik.com/raket/d-8656258/mens-world-tennis-championship-rifqi-dan-rafalentino-tembus-babak-kedua,"Kamis, 10 Sep 2026 04:42 WIB","Dua petenis Indonesia,Muhammad Rifqi FitriadidanRafalentino Ali Da Costa, melangkah keBabak Kedua Seri V Men's World Tennis Championship 2026.

Pada laga Babak pertama tunggal putra ITF World Tennis Tour M-15 di Bali Beach Country Club, Nusa Dua, Rabu (9/9/2026) Rafalentino menghadapi petenis India Shanker Heisnam.

Petenis 16 tahun itu dengan mudah menang dua set langsung, 6-4 dan 6-1, dalam tempo 59 menit. Ini mengulangi kemenangan atas Shanker di seri IV pekan lalu.

""Saya sudah mengalahkan Shanker pekan lalu sehingga termotivasi untuk mengulanginya. Saya tetap bermain tanpa beban di babak berikutnya dan fokus dengan strategi agar mendapat hasil maksimal,"" ujar Rafalentino dalam rilis kepadadetikSport.

Langkah serupa dilakoni Rifqi Fitriadi yang bermain di lapangan F menghadapi wakil Swedia Eric Ahren Moonga. Rifqi dengan karakternya menyerang dari garis belakang mendominasi permainan sebelum menang 6-2 dan 6-2 dalam tempo 1 jam 8 menit.

Pada babak kedua, Rifqi bertemu petenis kualifikasi asal Australia Hayden Jones yang menang 6-1 6-1 dari Raghav Jaysinghani.

Sementara itu tuan rumah harus kehilangan satu wakilnya di babak utama, setelah perjuangan Anthony Susanto selama 2 jam 53 menit saat menantang unggulan keenam asal Selandia Baru, Isaac Becroft, gagal membuahkan kemenangan.

Keunggulan 7-6 tiebreak 4 di set pertama, ternyata tak mampu di pertahankan oleh petenis 29 tahun itu. Isaac yang merupakan runner-up Seri IV menang rubber rame 6-2 dan 7-5."
Kevin Sanjaya Antusias Lihat Semangat Talenta Bulutangkis Indonesia,https://sport.detik.com/raket/d-8656218/kevin-sanjaya-antusias-lihat-semangat-talenta-bulutangkis-indonesia,"Kamis, 10 Sep 2026 01:15 WIB","Audisi Umum PB Djarum 2026 sedang berlangsung di Kudus.Kevin Sanjayajadi teringat momen saat dirinya berupaya mengejar mimpi.

Audisi Umum PB Djarum 2026 Kudus dihelat di GOR Djarum, Jati, pada Rabu (9/9) hingga Minggu (13/9). Tak kurang, sebanyak 1.601 peserta yang berasal dari berbagai penjuru Indonesia mulai dari Sumatera hingga Papua.

Mantan atlet bulutangkis Indonesia ternama, Kevin Sanjaya, ikut terlibat dalam Tim Pencari Bakat PB Djarum. Dia juga merupakan sosok legenda di PB Djarum.

""Hadir di GOR Jati membuat saya bernostalgia semasa pertama kali mengikuti Audisi Umum PB Djarum di tahun 2006 lalu. Saya senang melihat perjuangan adik-adik yang begitu gigih. Menurut saya, mentalitas bertanding dan siap akan hasil apapun di lapangan menjadi poin penting untuk menjadi pebulutangkis andal. Jadi antara keinginan untuk menang dan rasa takut kalah itu harus seimbang,"" kata Kevin dalam rilis yang diterima detikSport.

""Melihat antusiasme yang luar biasa dari adik-adik di audisi kali ini, saya rasa ini merupakan angin segar bagi regenerasi bulutangkis kita karena merekalah calon-calon pahlawan olahraga untuk Indonesia di masa depan,"" sambungnya.

Para bibit potensial ini tersebar di tiga kategori usia yaitu U-11, KU-11, dan KU-12 baik putra maupun putri. Adapun Kudus menjadi kota ketiga pelaksanaan proses seleksi pebulutangkis muda berkualitas super setelah lebih dahulu diadakan di Pekanbaru (Juli) dan Makassar (Agustus).

""Bertepatan dengan Hari Olahraga Nasional, kami ingin terus mengambil peran dalam mendukung kemajuan olahraga Indonesia melalui pembinaan atlet sejak usia dini. Audisi Umum PB Djarum menjadi salah satu langkah untuk menemukan talenta-talenta muda potensial dari berbagai daerah,"" kata Program Director Bakti Olahraga Djarum Foundation sekaligus Ketua PB Djarum, Yoppy Rosimin."
Atlet Muda Modern Pentathlon Punya Kesempatan Karier di Militer,https://sport.detik.com/sport-lain/d-8656170/atlet-muda-modern-pentathlon-punya-kesempatan-karier-di-militer,"Rabu, 09 Sep 2026 23:50 WIB","Modern Pentathlonakan dipertandingkan dalam momen Hari Ulang Tahun (HUT) TNI ke-81. Ketua Umum Pengurus Pusat Modern Pentathlon Indonesia (PP MPI), Marsekal Muda (Marsda) TNI Purwoko Aji Prabowo, menyampaikan apresiasi.

Modern Pentathlon adalah cabang olahraga Olimpiade yang menggabungkan lima disiplin berbeda: anggar, renang, lari, menembak, dan rintangan (obstacle) yang menggantikan disiplin berkuda mulai tahun 2025.

Modern Pentathlon Indonesia Open 2026 yang memperebutkan Piala Panglima TNI ini dijadwalkan akan berlangsung di Akademi Angkatan Udara (AAU) Yogyakarta, 23-25 September 2026.

""Merupakan suatu kehormatan modern pentathlon menjadi satu dari delapan cabang olahraga yang dipertandingkan dalam rangka memperingati HUT ke-81 TNI tahun 2026. Kami siap mensukseskan Modern Pentathlon Indonesia Open 2026 memperebutkan Piala Panglima TNI,"" kata Purwoko Aji Prabowo yang mendampingi Panglima Koopsudnas (Pangkoopsudnas) Marsekal Madya (Marsdya) TNI Minggit Tribowo.

""Keberadaan Modern Pentathlon Indonesia Open 2026 ini mewujudkan keinginan kami untuk terus menggemakan pembinaan Modern Pentathlon yang mampu membentuk karakter generasi muda yang berdisiplin tinggi, berdaya juang, dan bertalenta juara,"" sambungnya dalam wawancara dengan medai di Ruang Leo Watimena Koopsudnas, Lanud Halim Perdanakusuma, Jakarta Timur, Selasa (8/9/2026).

Purwoko Aji Prabowo juga menyampaikan kabar gembira bagi para atlet muda Modern Pentathlon yang tampil dalam perebutan Piala Panglima TNI. Dia memastikan PP MPI akan mengawal serta memfasilitasi para pemenang di kategori U-19 yang memiliki minat untuk melanjutkan karier di dunia militer melalui jalur prestasi.

""Kami membuka kesempatan bagi para juara di kategori U-19, jika tertarik bergabung menjadi anggota TNI, akan coba kami fasilitasi. Kesempatan dari Panglima TNI ini terbuka lebar bagi bibit-bibit muda berprestasi,"" pungkas Marsda TNI Purwoko Aji.

Kejuaraan Piala Panglima TNI 2026 membuka persaingan untuk kategori Senior serta U-19 (putra dan putri). Tiga nomor utama yang siap menguji ketahanan fisik dan mental para atlet meliputi: Pentathlon, Triathle, dan Biathle.

Lebih jauh Purwoko Aji menyampaiakan, perkembangan prestasi Modern Pentathlon Indonesia mengalami peningkatan prestasi cukup signifikan. Pada SEA Games Thailand 2025 lalu, Timnas Modern Pentathlon Indonesia telah menyumbangkan 1 medali emas, 3 perak, dan 1 perunggu. Kini, PP MPI sudah menyiapkan 5 atlet yang bakal tampil di Asian Games Aichi-Nagoya 2026.

""Kita sudah mempersiapkan kelima atlet Modern Petathlon Indonesia dengan maksimal sehingga bisa memberikan yang terbaik pada saat tampil di Asian Games 2026 nanti. Khusus Modern Pentathlon Indonesia Open 2026 ini, kita berharap muncul bibit-bibit potensial yang akan dibina untuk persiapan menghadapi single dan multi event internasional ke depan,"" tutupnya."
Romy Tahrizi Juara Nasional Shifter 2026 Bersama Dewa United,https://sport.detik.com/sport-lain/d-8656176/romy-tahrizi-juara-nasional-shifter-2026-bersama-dewa-united,"Rabu, 09 Sep 2026 23:15 WIB","Kejuaraan Nasional Gokart 2026yang berlangsung dalam enam putaran menghadirkan persaingan ketat hingga seri terakhir. Romy Tahrizi berhasil menjadi Juara Nasional Shifter 150 tahun 2026 bersama Dewa United Motorsport setelah melalui perjuangan sepanjang musim.

Kepastian tersebut diraih Romy pada Final Race Round 6 yang berlangsung pada 5-6 September 2026. Sebelumnya, pembalap yang juga berprofesi sebagai Lawyer di Kantor AHHN Lawyers tersebut masih menempati posisi kedua klasemen sementara dengan selisih 15 poin dari pemuncak klasemen.

Dengan tampil konsisten dan mampu mengamankan posisinya hingga balapan berakhir, Romy berhasil mengungguli pesaing terdekatnya sekaligus mengumpulkan poin terbanyak sepanjang musim. Hasil tersebut mengantarkannya menjadi pemuncak klasemen akhir Kejuaraan Nasional Gokart 2026 kelas Shifter 150.

Pencapaian ini menjadi hasil dari proses panjang yang tidak mudah. Sebagai pembalap dengan usia 37 tahun sekaligus salah satu pembalap paling senior di kelas Shifter 150, Romy harus mempersiapkan kondisi fisik dan mental secara optimal. Balapan gokart dengan intensitas tinggi membutuhkan stamina, konsentrasi, serta daya tahan fisik yang prima, terutama dalam menghadapi rangkaian kompetisi selama satu musim.

Sepanjang enam putaran yang berlangsung sejak Januari hingga September 2026, Romy mencatatkan empat kemenangan, satu kali finis sebagai runner-up, dan satu kali gagal menyelesaikan balapan. Dengan torehan tersebut, Romy berhasil mengoleksi lima podium dan memastikan gelar Juara Nasional Shifter 150 tahun 2026.

Performa Romy tidak terlepas dari dukungan penuh Dewa United Motorsport yang secara konsisten memberikan persiapan dan setting gokart terbaik di setiap putaran. Kolaborasi antara pembalap dan tim menjadi salah satu faktor penting dalam menjaga performa hingga akhirnya mampu mengamankan gelar juara nasional.

Kebahagiaan semakin lengkap karena keberhasilan Romy juga turut mengantarkan Dewa United Motorsport menjadi Juara Nasional Tim pada Kejuaraan Nasional Gokart 2026. Romy bersama para pembalap Dewa United Motorsport yang dikenal dengan sebutan ""Anak Dewa"" berhasil memberikan kontribusi penting terhadap pencapaian tersebut.

Persaingan pada putaran terakhir juga berlangsung dalam kondisi yang penuh tantangan. Balapan sempat terancam ditiadakan akibat abu vulkanik dari erupsi Anak Krakatau yang mencapai kawasan Sentul Karting Circuit. Kondisi tersebut membuat permukaan lintasan menjadi berdebu dan jarak pandang pembalap sangat terbatas.

Setelah mengalami penundaan selama hampir empat jam, balapan akhirnya dapat dilangsungkan setelah dilakukan penanggulangan oleh pihak organizer bersama petugas pemadam kebakaran yang melakukan penyemprotan di seluruh permukaan lintasan. Kondisi tersebut menambah tantangan bagi para pembalap dalam menentukan strategi dan menjaga konsentrasi hingga balapan berakhir.

""Gelar ini tentu sangat berarti bagi saya karena perjuangannya tidak mudah. Sepanjang musim kami harus menjaga konsistensi, mempersiapkan fisik, menjaga fokus, dan terus melakukan evaluasi dari satu seri ke seri berikutnya. Apalagi persaingan di kelas Shifter 150 sangat ketat dan saya juga harus mampu menjaga kondisi di tengah kesibukan sebagai lawyer,"" kata Romy Tahrizi dalam pernyataan resminya.

""Saya bersyukur kerja keras bersama tim akhirnya membuahkan hasil. Terima kasih yang sebesar-besarnya untuk Dewa United Motorsport yang selalu memberikan support dan setting terbaik di setiap seri. Gelar ini bukan hanya milik saya, tetapi juga milik seluruh tim, keluarga, sponsor, dan semua pihak yang terus memberikan dukungan,"" lanjutnya.

Romy juga menegaskan bahwa keberhasilan meraih gelar juara nasional bukan menjadi akhir dari perjalanan, melainkan motivasi untuk menghadapi tantangan berikutnya.

""Saya ingin menjadikan pencapaian tahun ini sebagai motivasi untuk terus berkembang. Target ke depan tentu mempertahankan gelar dan, jika ada kesempatan, mencoba berkompetisi di level internasional. Saya percaya selama kita mau bekerja keras, terus belajar, dan tidak mudah menyerah, masih banyak hal yang bisa dicapai. Mudah-mudahan saya bisa terus memberikan prestasi terbaik bersama Dewa United Motorsport,"" kata Romy.

Ke depan, Romy Tahrizi bertekad mempertahankan gelar Juara Nasional sekaligus membuka peluang untuk tampil di kompetisi gokart internasional. Komitmen tersebut akan terus dijalankan bersama Dewa United Motorsport yang telah memberikan kepercayaan dan dukungan sepanjang musim 2026.

Atas pencapaian tersebut, Romy menyampaikan apresiasi kepada seluruh jajaran Dewa United Motorsport, sponsor, keluarga, kerabat, serta seluruh pihak yang telah memberikan dukungan dan kepercayaan selama perjalanan kompetisinya hingga berhasil meraih gelar Juara Nasional Shifter 150 tahun 2026."
Asian Games: Ketum PBTI Yakin Taekwondo Bisa Berkontribusi untuk Indonesia,https://sport.detik.com/sport-lain/d-8656181/asian-games-ketum-pbti-yakin-taekwondo-bisa-berkontribusi-untuk-indonesia,"Rabu, 09 Sep 2026 22:22 WIB","Asian Games 2026tak lama lagi akan dimulai.Ketua Umum Pengurus Besar Taekwondo Indonesia (PBTI), Letjen TNI Richard Tampubolon, menyampaikan optimismennya terkait cabang olahraga yang dia pimpin.

Asian Games 2026 berlangsung di Aichi-Nagoya, Jepang. Ajang multi-event olahraga Asia itu akan resmi dibuka pada 19 September dan ditutup pada 4 Oktober 2026.

Presiden RI Prabowo Subianto secara resmi melepas kontingen Indonesia di Istana Kepresidenan, Jakarta Pusat, Rabu (9/9/2026). Ketua Umum Pengurus Besar Taekwondo Indonesia (PBTI) Letjen TNI Richard Tampubolon turut hadir dalam acara tersebut.

Dalam kesempatan tersebut, Prabowo berpesan kepada para atlet untuk menjaga konsistensi latihan. Orang nomor satu di Indonesia itu juga berharap para perwakilan Indonesia bisa memperlihatkan karakter bangsa.

""Kunci utama untuk meraih prestasi tertinggi adalah konsistensi dalam berlatih dan semangat pantang menyerah. Ia berharap para atlet dapat menunjukkan karakter bangsa Indonesia yang tangguh saat bertanding di Jepang nanti,"" kata PRabowo.

Pesan tersebut menjadi motivasi bagi para atlet Indonesia, termasuk para wakil Taekwondo Indonesia yang akan membawa Merah Putih di Aichi-Nagoya.

""Dengan persiapan dan evaluasi yang berkesinambungan, saya yakin para atlet Taekwondo dapat memberikan kontribusi maksimal untuk kejayaan Indonesia,"" kata Richard Tampubolon.

Asian Games Aichi-Nagoya 2026 akan menjadi salah satu panggung penting bagi Taekwondo Indonesia. Hasil baik nantinya bisa menjadibukti keberhasilanPBTI dalam pembinaan dan persiapan yang telah dilakukan sebelum menghadapi persaingan di level Asia."
BNI Dukung Skuad Bulutangkis Indonesia Menuju Asian Games 2026,https://sport.detik.com/raket/d-8656150/bni-dukung-skuad-bulutangkis-indonesia-menuju-asian-games-2026,"Rabu, 09 Sep 2026 21:53 WIB","PT Bank Negara Indonesia (Persero) Tbk atau BNI kembali memberikan dukungan terhadap perjuangan bulutangkis Indonesia di panggung internasional. Hal ini seiring ditetapkannya 20 pebulu tangkis yang akan memperkuat Merah Putih pada Asian Games 2026 Aichi-Nagoya, Jepang.

Dari 20 pemain yang dipilih Persatuan Bulutangkis Seluruh Indonesia (PP PBSI), sebanyak 13 pemain akan menjalani debut di Asian Games. Mereka antara lain Alwi Farhan, Moh Zaki Ubaidillah, Muhammad Shohibul Fikri, Nikolaus Joaquin, Mutiara Ayu Puspitasari, Rachel Allessya Rose, hingga Nita Violina Marwah.

Sementara itu, tujuh pemain lainnya telah memiliki pengalaman tampil di Asian Games, yakni Jonatan Christie, Fajar Alfian, Leo Rolly Carnando, Daniel Marthin, Putri Kusuma Wardani, Febriana Dwipuji Kusuma, dan Siti Fadia Silva Ramadhanti.

Corporate Secretary BNI Okki Rushartomo mengatakan komposisi pemain berpengalaman dan debutan menunjukkan proses regenerasi yang terus berlangsung dalam bulutangkis Indonesia. Asian Games Aichi-Nagoya menjadi kesempatan bagi para pemain untuk menguji kemampuan sekaligus menambah pengalaman di level internasional.

""BNI berharap seluruh atlet yang memperkuat Indonesia dapat memberikan kemampuan terbaiknya. Kehadiran para pemain berpengalaman sekaligus debutan menunjukkan bahwa regenerasi terus berjalan dan menjadi bagian penting dalam menjaga kesinambungan prestasi bulutangkis Indonesia,"" ujar Okki dalam keterangan tertulis, Rabu (9/9/2026).

Asian Games 2026 juga menghadirkan kombinasi baru di sektor ganda campuran. Nikolaus Joaquin dan Siti Fadia Silva Ramadhanti dijadwalkan tampil sebagai pasangan pada ajang tersebut setelah sebelumnya masing-masing berkompetisi dengan pasangan berbeda.

Menurut Okki, hadirnya kombinasi pemain baru memberikan kesempatan untuk memperluas pengalaman bertanding sekaligus menambah alternatif bagi Indonesia dalam menghadapi persaingan di level Asia.

""Yang paling utama, kami berharap tim Indonesia dapat tampil maksimal pada nomor beregu, baik putra maupun putri. Setelah itu, kami juga berharap para atlet mampu menunjukkan performa terbaik pada nomor perorangan,"" kata Okki.

Nomor beregu bulutangkis Asian Games 2026 dijadwalkan berlangsung pada 20-24 September 2026, kemudian dilanjutkan dengan nomor perorangan pada 25-29 September 2026.

Dukungan terhadap perjuangan para atlet tersebut juga bertepatan dengan momentum Hari Olahraga Nasional (Haornas) yang diperingati setiap 9 September. Bagi BNI, Haornas menjadi pengingat pentingnya dukungan berkelanjutan terhadap pembinaan atlet dan pengembangan olahraga nasional.

BNI meyakini perjuangan para atlet di Asian Games 2026 dapat menjadi inspirasi bagi generasi muda untuk terus berprestasi sekaligus membawa nama Indonesia di tingkat Asia dan dunia."
"Tebak Sirkuit MotoGP Bisa Dapat Saldo E-Wallet Rp 750 Ribu, Mau?",https://sport.detik.com/moto-gp/d-8656147/tebak-sirkuit-motogp-bisa-dapat-saldo-e-wallet-rp-750-ribu-mau,"Rabu, 09 Sep 2026 21:49 WIB","Buat kamu yang mengikuti MotoGP dan merasa hafal dengan karakter berbagai sirkuit, ada tantangan menarik yang bisa diikuti. Bold Riders bersama detikcom menghadirkan kuis tebak sirkuit MotoGP dengan hadiah saldo e-wallet total Rp750 ribu.

Dalam kuis ini, peserta ditantang menebak nama-nama sirkuit berdasarkan siluet pada postingan kuis. Tantangan tersebut bisa menjadi kesempatan untuk menguji seberapa jauh pengetahuan peserta terhadap berbagai lintasan MotoGP.

Menariknya, kuis ini tidak hanya mengandalkan jawaban yang tepat. Peserta juga perlu mengikuti sejumlah mekanisme yang telah ditentukan agar dapat mengikuti kuis sesuai ketentuan.

Untuk mengikuti kuis, peserta perlu memastikan beberapa persyaratan telah dilakukan. Berikut mekanismenya:

Follow akun Instagram @detikcom dan @boldriders.

Tulis nama-nama sirkuit yang sesuai dengan siluet pada slide 2 postingan kuis di kolom komentar.

Mention @detikcom, @boldriders, dan dua teman terdekat untuk ikut meramaikan kuis.

Pastikan jawaban dan seluruh mekanisme telah dilakukan sesuai ketentuan.

Kuis ini menguji kemampuan peserta dalam mengenali sirkuit hanya melalui tampilan siluet. Bagi penggemar yang terbiasa mengikuti balapan MotoGP, bentuk lintasan dan karakter tikungan dapat menjadi petunjuk untuk menentukan jawaban.

Selain menguji pengetahuan tentang sirkuit MotoGP, kuis ini juga menawarkan hadiah menarik. Tiga detikers dengan jawaban yang benar akan mendapatkan saldo e-wallet.

Masing-masing pemenang berhak mendapatkan saldo e-wallet sebesar Rp250 ribu, sehingga total hadiah yang disiapkan mencapai Rp750 ribu.

Jadi, buat kamu yang merasa jago mengenali sirkuit MotoGP, jangan lewatkan kesempatan untuk ikut menjawab tantangan ini. Siapkan jawaban terbaik, ikuti seluruh mekanisme yang berlaku, dan buktikan seberapa kenal kamu dengan berbagai lintasan MotoGP.

Bold Ridershadir sebagai wadah komunitas motormultigenre. Apa punbrandatau jenis motornya, semua bisa bergabung di bawah satu semangat yang sama:brotherhood. Sejalan dengan keberanian memacu adrenalin dan mengambil risiko di sirkuit, Bold Riders juga dengan bangga menjadi sponsor resmiGresini Racing Teamdi ajang MotoGP.

Lebih dari sekadar komunitas, Bold Riders mendukung penuh nilai-nilai yang menjadi jiwa dari MotoGP dan para pecinta roda dua untuk selalu berani tampil beda (Live Bold):

Keberanian mengambil keputusan dalam hitungan detik.

Mentalitas untuk terus maju dan berkembang.

Passionyang kuat terhadap dunia roda dua.

Dedikasi dalam menghargai proses, latihan, dan disiplin.

Prinsip untuk menjadikan setiap perjalanan sebagai pengalaman yang berarti.

Semangatbrotherhoodyang solid dan merangkul semua genre motor tanpa sekat.

Jangan sampai ketinggalan keseruannya!Followakun@boldriderssekarang untukupdateinfo terbaru seputar dunia motor dan MotoGP.

[Gambas:Instagram]"
Pelatih Timnas Voli Putra RI Targetkan Medali di Asian Games 2026,https://sport.detik.com/sport-lain/d-8655872/pelatih-timnas-voli-putra-ri-targetkan-medali-di-asian-games-2026,"Rabu, 09 Sep 2026 20:50 WIB","Pelatih Timnas voli putra Indonesia, Reidel Toiran, memasang target medali di Asian Games 2026. Dia optimistis timnya bisa memberikan kejutan besar.

Timnas voli putra Indonesia saat ini diperkuat 12 pemain. Sejumlah pemain berpengalaman tetap menjadi bagian dari skuad, di antaranya Dio Zulfikri, Farhan Halim, dan Fahri Septian.

""Target kami dapat medali. Anak-anak semangat semua. Jadi, optimis nanti kompetisi ini kita bisa surprise (memberi kejutan) besar,"" kata Reidel saat ditemui di Wisma Serba Guna, GBK, Rabu (9/9/2026).

Menurut Reidel, timnya masih menjalani latihan berat. Waktu kurang dari dua pekan akan dimanfaatkan untuk memaksimalkan kondisi fisik para pemain sebelum berangkat ke Asian Games 2026.

""Sekarang masih latihan berat, masih ada panjang latihan, jadi belum lepas fisik. Ya, maksimalkan waktu karena kita ada evaluasi fisik kurang. Sekarang di fase untuk memaksimalkan taktik kita,"" kata Reidel.

Menyoal persaingan, Reidel menyebut Jepang, India, dan China bakal menjadi lawan berat Indonesia. Di sisi lain dia juga menilai performa timnya juga terus mengalami peningkatan.

Indonesia sebelumnya berhasil menjuarai AVC Men's Cup 2026. Tim Merah Putih mengalahkan Korea Selatan 3-0 pada pertandingan final di India.

""Ya, ada tim-tim terbaik. Ada Jepang, ada India, ada China juga lumayan bagus. Dan kita sudah mulai naik,"" tuturnya.

Pada Asian Games 2026, Indonesia tergabung di Pool B bersama Iran, Thailand, dan Kirgizstan. Reidel berharap dukungan masyarakat Indonesia untuk perjuangan timnas voli putra di Asian Games 2026.

""Ya, untuk masyarakat Indonesia terima kasih sampai sekarang sudah mendukung. Kami akan maksimal di pertandingan dan berharap maju,"" ujar Reidel."
Ketum KOI Memastikan Atlet Terlayani dengan Baik di Nagoya,https://sport.detik.com/sport-lain/d-8656039/ketum-koi-memastikan-atlet-terlayani-dengan-baik-di-nagoya,"Rabu, 09 Sep 2026 20:22 WIB","Ketua UmumKomite Olimpiade Indonesia (KOI),Raja Sapta Oktohari, memastikan atlet terlayani dengan baik setibanya di Nagoya, Jepang. Ini untuk menjawab kondisi yang tengah terjadi di kota tersebut.

Nagoya tengah diterpa banjir besar yang mengakibatkan ratusan atlet Asian Games di Jepang dievakuasi dari tempat penginapan mereka.

Bahkan, menurut prakiraan cuaca menunjukkan akan ada lebih banyak hujan dalam beberapa hari ke depan, padahal pertandingan Asian Games akan dimulai 10 September, dan pembukaan resmi multievent empat tahunan itu baru dilakukan 19 September.""Hubungan kami dengan NOC Jepang cukup baik. Koordinasi tetap kami lakukan dan khusus Nagoya, tim CdM cukup intensif berkomunikasi, baik dengan pemerintahnya mapun LOC Aichi-Nagoya,"" kata Okto saat ditemui di Wisma Serba Guna, GBK, Rabu (9/9/2026).

""InsyaAllah kita akan berupaya terus supaya ada kepastian para atlet bisa terlayani dengan baik,"" tambahnya.

Selain banjir besar di wilayah Asian Games akan berlangsung, faktanya Indonesia juga diterpa tantangan lain.Mulai dari kebakaran di Kalimantan, banjir di Sumatra, hingga gunung erupsi di beberapa titik di Indonesia. Namun begitu, Okto berharap, tantangan ini bisa dijawab atlet dengan prestasi olahraga Indonesia.

""Kami menyampaikan kepada para atlet bahwa semua tantangan ini harus dijawab dengan prestasi. Harapannya dari prestasi itu bisa menjadi penguat semangat masyarakat Indonesia menghadapi semua tantangan yang sedang kita hadapi ini,"" ujarnya.

""Kita bangsa besar, kita tak mungkin akan menjadi kecil, cuma karena tantangan-tantangan ini. Jawabannya harus menang,"" tegas Okto.

Okto juga menilai tim CdM memiliki rencana cadangan dalam setiap situasi yang dihadapi. Termasuk terkait Timnas basket yang turut berdampak karena adanya banjir besar di Nagoya.""Hal seperti ini bukan pertama kali. Saya pernah jadi CdM di Olimpiade 2016, setiap situasi ada kondisi plan. Dan saya yakin pak Todotua Padaribu dari olahraga basket, sehingga saya sangat pede pasti setiap permasalahan akan dicarikan solusinya yang terbaik untuk para atletnya,"" tegasnya.

Begitu pun soal skema keberangkatan tim Asian Games untuk kloter berikutnya.""Skemanya memaksimalkan menyesuaikan keadaan. Bahwa kemarin pada saat mau berangkat airport ditutup, kami cari solusi dan komunikasikan dengan atlet dan ofisial. Jika mereka setuju dengan skema itu kami laksanakan karena yang paling utama memastikan pelayanan kepada atlet sehingga mereka bisa tampil maksimal,"" kata Okto."
"Dari Hyrox ke 10K, Fanny Ghassani Pilih Pace Santai",https://sport.detik.com/sportstyle/d-8655787/dari-hyrox-ke-10k-fanny-ghassani-pilih-pace-santai,"Rabu, 09 Sep 2026 18:50 WIB","Demam olahraga lari terus menjalar ke kalangan selebritas. Salah satu yang kini menggemari olahraga tersebut adalah Fanny Ghassani.

Setelah dua kali menjajal race, Fanny kini naik level. Sports enthusiast itu akan menjalani debut di nomor 10K RunXperience yang digelar pada awal Oktober 2026.

""Saya lari 5K sudah, 8K sudah, jadi habis itu 10K saja. Ini perdana bagi saya ikut di nomor tersebut,"" kata Fanny saat ditemui di kawasan Semanggi, Rabu (9/9/2026).

Bagi Fanny, 10K menjadi langkah sebelum nantinya mencoba Half Marathon atau Full Marathon. Namun, dia belum memasang target waktu dan memilih menikmati perlombaan.

""Enggak ada target sih. Saya kalau lari tuh inginnya menganggap lari tuh sesuatu yang fun gitu. Tidak pernah ada target. Saya belum sampai di tahap misalnya lari 10K harus satu jam gitu,"" dia mengungkapkan.

Kesibukan sebagai artis menjadi salah satu alasan Fanny tidak bisa memiliki waktu latihan yang teratur seperti pelari yang serius menekuni olahraga tersebut.

""Daripada saya terbebani dengan berapa waktu yang akan saya capai nanti, lebih baik yang penting larinya fun aja. Karena mengingat waktu latihan itu juga enggak akan bisa sama kayak mereka yang serius lari. Kerjaan kita kan tidak kayak pekerja kantoran pada umumnya,"" kata Fanny.

Kegemaran Fanny terhadap lari juga didorong kebutuhannya meningkatkan kemampuan fisik untuk mengikuti Hyrox, kompetisi kebugaran yang memadukan lari dan latihan fungsional.

Sadar membutuhkan fisik yang lebih kuat untuk Hyrox, Fanny mau tak mau menambah latihan, khususnya dalam program lari. Dia bahkan sudah dua kali menjajal race untuk meningkatkan kemampuan fisiknya.

""Sebenarnya dari dulu aku penasaran kenapa tidak bisa lari. Karena kayak kok aku bisa enggak suka lari, di saat semua orang suka lari,"" tuturnya.

""Sampai akhirnya aku seriusi lari karena hyrox. Di hyrox itu aku harus delapan kali lari, delapan kali station, jadi mau enggak mau, aku harus belajar bagaimana caranya lari cepat. Di situ lah aku memaksa diri lari.""

""Jadi kalau ditanya siapa yang ajak (lari)? Enggak ada, dari diri sendiri saja. Kalau tak latihan lari, aku pasti KO. Sebab, habis lari, lalu narik, jadi harus di-combine,"" tegasnya.

Meski kini mulai serius berlari, selebritas berusia 35 tahun itu tidak ingin terlalu ngoyo dalam mengikuti kompetisi lari, terutama dalam mengejar catatan waktu.

Fanny menyadari tujuan utama olahraga yang dilakukannya adalah menjaga kebugaran dan kesehatan.

""Aku ekspetasinya gitu (berdampak pada hyrox) tapi lebih dari itu lari buat kesehatan otot jantung. Sementara angkat beban lebih ke tulang, otot, yang dibentuk. Jadi aku juga perlu latihan untuk cardionya. Jadi aku mau,"" ujarnya.

""Tapi aku tak mau memaksakan diri mengingat aku bukan atlet atau waktu aku. Ini bukan pekerjaan aku, ya sadar diri saja. Jadi pace santai-santai tapi enggak pelan, enggak kencang juga,"" pungkasnya.

RunXperience 2026 digelar di dua kota. Setelah Surabaya pada 19 Juli 2026, gelaran tersebut akan berlanjut di Jakarta pada 4 Oktober 2026.

Di Surabaya, RunXperience digelar di kawasan Balai Kota Surabaya dan diikuti 3.500 peserta. Ajang tersebut mempertandingkan kategori 2,5K, 5K, dan 10K. Sementara di Jakarta, kategori yang tersedia adalah 2,5K Fun Run, 5K, 10K, dan 21K atau Half Marathon."
